# id,category
cifar100/img/test/volcano_s_000012.png,bridge
cifar100/img/test/woods_s_000412.png,squirrel
cifar100/img/test/seal_s_001803.png,tractor
cifar100/img/test/mushroom_s_001755.png,lamp
cifar100/img/test/adriatic_sea_s_000653.png,sea
cifar100/img/test/tulipa_clusiana_s_000175.png,bee
cifar100/img/test/camel_s_001052.png,crocodile
cifar100/img/test/mourning_cloak_s_000143.png,shrew
cifar100/img/test/cirrostratus_s_000223.png,sea
cifar100/img/test/eating_apple_s_000763.png,sweet_pepper
cifar100/img/test/adriatic_s_000380.png,television
cifar100/img/test/skunk_s_001175.png,skunk
cifar100/img/test/streetcar_s_000382.png,train
cifar100/img/test/sounding_rocket_s_000010.png,rocket
cifar100/img/test/lamp_s_001350.png,chair
cifar100/img/test/king_of_beasts_s_001221.png,spider
cifar100/img/test/tulipa_clusiana_s_000186.png,cup
cifar100/img/test/timber_wolf_s_000622.png,mouse
cifar100/img/test/rose_s_002192.png,rose
cifar100/img/test/valencia_orange_s_001542.png,orange
cifar100/img/test/mountain_rose_s_000209.png,hamster
cifar100/img/test/mount_s_002678.png,rocket
cifar100/img/test/striped_skunk_s_001304.png,motorcycle
cifar100/img/test/dinosaur_s_000326.png,bridge
cifar100/img/test/chimpanzee_s_000134.png,chimpanzee
cifar100/img/test/oilcan_s_000656.png,bowl
cifar100/img/test/keyboard_s_001529.png,keyboard
cifar100/img/test/safety_bike_s_000390.png,bicycle
cifar100/img/test/bike_s_000658.png,elephant
cifar100/img/test/rose_s_000120.png,baby
cifar100/img/test/chaise_s_001826.png,chair
cifar100/img/test/fishplate_s_000669.png,plate
cifar100/img/test/motor_mower_s_000528.png,lawn_mower
cifar100/img/test/sea_turtle_s_000882.png,shark
cifar100/img/test/elaeis_guineensis_s_000412.png,palm_tree
cifar100/img/test/mackerel_shark_s_001042.png,crocodile
cifar100/img/test/pickup_truck_s_002755.png,apple
cifar100/img/test/boy_s_001524.png,sweet_pepper
cifar100/img/test/sofa_s_000044.png,bed
cifar100/img/test/house_s_000626.png,train
cifar100/img/test/hedgehog_s_001874.png,squirrel
cifar100/img/test/oriental_cockroach_s_000209.png,cockroach
cifar100/img/test/alp_s_002713.png,rocket
cifar100/img/test/shark_s_000617.png,cloud
cifar100/img/test/palm_tree_s_000736.png,palm_tree
cifar100/img/test/clock_s_001335.png,clock
cifar100/img/test/lawn_mower_s_001124.png,orange
cifar100/img/test/pickup_s_000322.png,bed
cifar100/img/test/striped_skunk_s_001190.png,chimpanzee
cifar100/img/test/palace_s_001402.png,castle
cifar100/img/test/beaver_s_001091.png,lobster
cifar100/img/test/honeybee_s_001239.png,palm_tree
cifar100/img/test/soda_bottle_s_001358.png,pear
cifar100/img/test/pear_s_001406.png,woman
cifar100/img/test/baby_s_000125.png,girl
cifar100/img/test/halibut_s_000725.png,rocket
cifar100/img/test/adriatic_sea_s_000963.png,mountain
cifar100/img/test/quercus_falcata_s_000284.png,oak_tree
cifar100/img/test/leopard_s_000307.png,porcupine
cifar100/img/test/exocet_s_000376.png,rocket
cifar100/img/test/garden_snail_s_000845.png,television
cifar100/img/test/african_crocodile_s_000958.png,trout
cifar100/img/test/camel_s_001703.png,bear
cifar100/img/test/lapin_s_002009.png,leopard
cifar100/img/test/ladybug_s_000652.png,lobster
cifar100/img/test/girl_s_000680.png,tulip
cifar100/img/test/lion_s_002289.png,hamster
cifar100/img/test/sunflower_s_000716.png,apple
cifar100/img/test/hedgehog_s_000850.png,shrew
cifar100/img/test/tulip_s_000383.png,lion
